topic,hashtags,duration,caption
music,"rap, AI",22.93,Music and rap: a powerful duo.
fashion,trendy,48.62,The timeless appeal of trendy in fashion.
music,"live, legends, rap",29.71,How live shaped modern sound.
news,crisis,33.94,Global reaction to crisis.
food,"fusion, grill",29.38,Why everyone’s craving grill this season.
music,"AI, rap",38.66,The controversy around AI in music.
sports,worldcup,23.09,How worldcup builds community and strength.
food,"pasta, vegan, grill",13.16,A cultural dive into grill cuisine.
sports,"fitness, training",16.23,Why fitness is more exciting than ever.
art,"modern, exhibition, culture",34.22,The evolution of modern modern.
tech,"AI, startups, innovation",21.56,The next big thing in tech: startups.
music,pop,26.65,How pop shaped modern sound.
food,"pasta, dessert, grill",14.3,Why everyone’s craving dessert this season.
food,"pasta, grill, fusion",18.78,A cultural dive into grill cuisine.
tech,"5G, AI",48.89,The next big thing in tech: 5G.
food,"dessert, grill",14.27,Why everyone’s craving dessert this season.
sports,football,43.18,How football builds community and strength.
art,culture,11.2,The evolution of modern culture.
music,"pop, rap, legends",38.6,How pop shaped modern sound.
food,"fusion, grill, pasta",40.56,Why everyone’s craving pasta this season.
gaming,"strategy, esports, update",52.24,strategy is changing how we play.
food,"dessert, fusion, grill",57.4,A cultural dive into fusion cuisine.
news,"update, crisis, international",44.6,The latest update on crisis.
music,rap,58.72,How rap shaped modern sound.
news,election,37.57,The latest update on election.
sports,"fitness, worldcup, football",21.7,Why fitness is more exciting than ever.
gaming,"streaming, strategy, esports",14.95,The future of gaming with streaming.
sports,"training, worldcup",48.58,The hidden benefits of worldcup in daily life.
art,"culture, digitalart, gallery",44.29,Celebrating creativity through culture.
tech,"startups, robotics, AI",38.27,How AI is changing the future of technology.
fashion,"trendy, runway",24.83,How trendy is reshaping runway looks.
fashion,"runway, designers, trendy",32.77,This season’s top trends in trendy.
news,international,46.24,Breaking: What you need to know about international.
music,"legends, live",47.85,The controversy around live in music.
fashion,"runway, vintage",38.97,The timeless appeal of vintage in fashion.
music,"live, legends",55.18,The controversy around live in music.
music,rap,57.19,Music and rap: a powerful duo.
tech,"robotics, 5G",53.16,Exploring the impact of 5G in today's world.
gaming,"streaming, rpg",40.63,Why everyone is talking about rpg.
fashion,"runway, designers, summer",34.56,The timeless appeal of runway in fashion.
art,"gallery, modern",28.56,Celebrating creativity through modern.
sports,olympics,31.12,Why olympics is more exciting than ever.
gaming,rpg,21.99,The future of gaming with rpg.
tech,"5G, AI",48.74,How AI is changing the future of technology.
fashion,"trendy, runway, designers",36.3,The timeless appeal of designers in fashion.
food,"vegan, fusion",50.81,How to make the perfect vegan dish.
fashion,"trendy, runway",57.27,The timeless appeal of runway in fashion.
food,"fusion, dessert, grill",42.03,How to make the perfect grill dish.
art,"culture, gallery, modern",25.92,How gallery is redefining the art scene.
fashion,runway,25.18,How runway is reshaping runway looks.
food,"grill, pasta, vegan",22.1,How to make the perfect vegan dish.
news,"election, update, crisis",31.45,Global reaction to election.
music,"live, rap",44.34,How rap shaped modern sound.
music,rap,50.49,Music and rap: a powerful duo.
food,"dessert, fusion, vegan",24.93,How to make the perfect dessert dish.
music,"pop, AI, legends",57.16,How legends shaped modern sound.
music,"AI, rap, live",51.94,The controversy around AI in music.
fashion,"runway, designers, vintage",38.47,This season’s top trends in runway.
tech,"startups, 5G, AI",23.16,Exploring the impact of startups in today's world.
gaming,streaming,34.84,The future of gaming with streaming.
gaming,"strategy, update, streaming",51.97,Why everyone is talking about update.
art,modern,43.46,Celebrating creativity through modern.
sports,"fitness, worldcup, football",26.01,The hidden benefits of fitness in daily life.
art,"modern, gallery",32.2,How gallery is redefining the art scene.
fashion,"vintage, summer",21.92,The timeless appeal of summer in fashion.
sports,"training, football, fitness",23.53,Why football is more exciting than ever.
fashion,runway,46.33,The timeless appeal of runway in fashion.
tech,innovation,25.96,The next big thing in tech: innovation.
food,dessert,28.68,How to make the perfect dessert dish.
art,"exhibition, digitalart",23.87,How exhibition is redefining the art scene.
news,"local, crisis",48.75,Breaking: What you need to know about local.
art,"modern, digitalart",16.64,How digitalart is redefining the art scene.
sports,"training, worldcup",26.79,The hidden benefits of worldcup in daily life.
art,culture,12.76,How culture is redefining the art scene.
gaming,update,26.5,Why everyone is talking about update.
food,dessert,51.65,A cultural dive into dessert cuisine.
sports,worldcup,36.93,The hidden benefits of worldcup in daily life.
news,election,38.0,Global reaction to election.
sports,training,11.84,How training builds community and strength.
news,"election, international, local",23.67,The latest update on election.
gaming,rpg,42.22,The future of gaming with rpg.
gaming,"update, streaming",32.67,Why everyone is talking about update.
art,"gallery, modern",52.01,How gallery is redefining the art scene.
food,"grill, vegan, fusion",20.65,A cultural dive into vegan cuisine.
gaming,"update, esports, rpg",46.75,rpg is changing how we play.
sports,olympics,38.67,How olympics builds community and strength.
food,"dessert, pasta, vegan",47.4,How to make the perfect dessert dish.
news,local,17.17,Global reaction to local.
food,"vegan, pasta",44.52,How to make the perfect pasta dish.
news,"update, international",43.63,Breaking: What you need to know about international.
gaming,update,30.55,Why everyone is talking about update.
sports,"fitness, olympics",10.34,The hidden benefits of olympics in daily life.
music,"legends, pop, AI",28.21,The controversy around pop in music.
music,"rap, live",41.41,Music and rap: a powerful duo.
art,culture,53.61,How culture is redefining the art scene.
news,"election, update, international",20.44,Global reaction to update.
fashion,"designers, vintage",30.49,How vintage is reshaping runway looks.
news,update,38.39,The latest update on update.
sports,"fitness, worldcup",53.82,How worldcup builds community and strength.
sports,worldcup,58.79,Why worldcup is more exciting than ever.
food,"grill, dessert",54.91,Why everyone’s craving grill this season.
art,"culture, digitalart, gallery",24.12,The evolution of modern culture.
gaming,streaming,16.34,streaming is changing how we play.
art,"modern, culture, gallery",55.2,Celebrating creativity through modern.
food,"vegan, fusion, dessert",10.54,Why everyone’s craving dessert this season.
sports,"training, fitness",54.41,How fitness builds community and strength.
tech,"5G, startups, AI",14.76,Exploring the impact of startups in today's world.
music,"AI, live",46.78,The controversy around live in music.
music,"pop, rap",19.6,How pop shaped modern sound.
sports,"training, football, fitness",20.85,How football builds community and strength.
music,"AI, rap",12.45,The controversy around rap in music.
tech,"startups, 5G",54.91,The next big thing in tech: 5G.
music,"live, pop, rap",12.3,The controversy around pop in music.
tech,"AI, robotics",47.1,How robotics is changing the future of technology.
news,election,24.91,Global reaction to election.
news,"local, update",43.93,The latest update on local.
gaming,"rpg, update",49.7,update is changing how we play.
sports,olympics,25.51,The hidden benefits of olympics in daily life.
music,live,31.91,How live shaped modern sound.
sports,"olympics, worldcup",30.51,The hidden benefits of worldcup in daily life.
tech,"startups, 5G",27.02,Exploring the impact of startups in today's world.
food,"vegan, fusion, dessert",59.65,Why everyone’s craving vegan this season.
tech,"innovation, robotics, AI",17.74,How AI is changing the future of technology.
music,AI,50.56,The controversy around AI in music.
fashion,"designers, vintage",41.64,The timeless appeal of vintage in fashion.
sports,worldcup,59.22,Why worldcup is more exciting than ever.
gaming,"update, rpg",41.48,Why everyone is talking about rpg.
gaming,rpg,34.42,Why everyone is talking about rpg.
fashion,"runway, designers",13.93,This season’s top trends in runway.
news,"election, international",28.22,The latest update on international.
food,vegan,45.58,How to make the perfect vegan dish.
sports,"training, football",47.56,How training builds community and strength.
food,fusion,25.96,Why everyone’s craving fusion this season.
news,international,36.58,Global reaction to international.
food,"fusion, vegan, dessert",31.69,A cultural dive into dessert cuisine.
food,pasta,26.68,How to make the perfect pasta dish.
gaming,esports,23.02,esports is changing how we play.
food,"fusion, dessert",57.31,Why everyone’s craving dessert this season.
gaming,"streaming, strategy, update",39.75,The future of gaming with update.
art,"digitalart, gallery",33.81,The evolution of modern digitalart.
food,"fusion, vegan",23.64,Why everyone’s craving vegan this season.
sports,training,30.43,The hidden benefits of training in daily life.
sports,fitness,46.74,Why fitness is more exciting than ever.
gaming,"esports, rpg, streaming",34.05,esports is changing how we play.
gaming,"rpg, strategy",48.29,The future of gaming with rpg.
music,"legends, live, rap",30.99,How live shaped modern sound.
gaming,update,17.44,Why everyone is talking about update.
food,"vegan, grill, dessert",28.38,How to make the perfect vegan dish.
food,"fusion, vegan, pasta",48.05,How to make the perfect fusion dish.
